MSSV,Họ và Tên,Email
2023100058,Đỗ Tuấn An,sv000058@uni.edu.vn
2024100059,Hồ Tuấn An,sv000059@uni.edu.vn
2019100060,Nguyễn Hữu An,sv000060@uni.edu.vn
2020100061,Trần Hữu An,sv000061@uni.edu.vn
2021100062,Lê Hữu An,sv000062@uni.edu.vn
2022100063,Phạm Hữu An,sv000063@uni.edu.vn
2023100064,Hoàng Hữu An,sv000064@uni.edu.vn
2024100065,Vũ Hữu An,sv000065@uni.edu.vn
2019100066,Đặng Hữu An,sv000066@uni.edu.vn
2020100067,Bùi Hữu An,sv000067@uni.edu.vn
2021100068,Đỗ Hữu An,sv000068@uni.edu.vn
2022100069,Hồ Hữu An,sv000069@uni.edu.vn
2023100070,Nguyễn Thành An,sv000070@uni.edu.vn
2024100071,Trần Thành An,sv000071@uni.edu.vn
2019100072,Lê Thành An,sv000072@uni.edu.vn
2020100073,Phạm Thành An,sv000073@uni.edu.vn
2021100074,Hoàng Thành An,sv000074@uni.edu.vn
2022100075,Vũ Thành An,sv000075@uni.edu.vn
2023100076,Đặng Thành An,sv000076@uni.edu.vn
2024100077,Bùi Thành An,sv000077@uni.edu.vn
2019100078,Đỗ Thành An,sv000078@uni.edu.vn
2020100079,Hồ Thành An,sv000079@uni.edu.vn
2021100080,Nguyễn Ngọc An,sv000080@uni.edu.vn
2022100081,Trần Ngọc An,sv000081@uni.edu.vn
2023100082,Lê Ngọc An,sv000082@uni.edu.vn
2024100083,Phạm Ngọc An,sv000083@uni.edu.vn
2019100084,Hoàng Ngọc An,sv000084@uni.edu.vn
2020100085,Vũ Ngọc An,sv000085@uni.edu.vn
2021100086,Đặng Ngọc An,sv000086@uni.edu.vn
2022100087,Bùi Ngọc An,sv000087@uni.edu.vn
2023100088,Đỗ Ngọc An,sv000088@uni.edu.vn
2024100089,Hồ Ngọc An,sv000089@uni.edu.vn
2019100090,Nguyễn An,sv000090@uni.edu.vn
2020100091,Trần An,sv000091@uni.edu.vn
2021100092,Lê An,sv000092@uni.edu.vn
2022100093,Phạm An,sv000093@uni.edu.vn
2023100094,Hoàng An,sv000094@uni.edu.vn
2024100095,Vũ An,sv000095@uni.edu.vn
2019100096,Đặng An,sv000096@uni.edu.vn
2020100097,Bùi An,sv000097@uni.edu.vn
2021100098,Đỗ An,sv000098@uni.edu.vn
2022100099,Hồ An,sv000099@uni.edu.vn
2023100100,Nguyễn Thị Bình,sv000100@uni.edu.vn
2024100101,Trần Thị Bình,sv000101@uni.edu.vn
2019100102,Lê Thị Bình,sv000102@uni.edu.vn
2020100103,Phạm Thị Bình,sv000103@uni.edu.vn
2021100104,Hoàng Thị Bình,sv000104@uni.edu.vn
2022100105,Vũ Thị Bình,sv000105@uni.edu.vn
2023100106,Đặng Thị Bình,sv000106@uni.edu.vn
2024100107,Bùi Thị Bình,sv000107@uni.edu.vn
2019100108,Đỗ Thị Bình,sv000108@uni.edu.vn
2020100109,Hồ Thị Bình,sv000109@uni.edu.vn
2021100110,Nguyễn Văn Bình,sv000110@uni.edu.vn
2022100111,Trần Văn Bình,sv000111@uni.edu.vn
2023100112,Lê Văn Bình,sv000112@uni.edu.vn
2024100113,Phạm Văn Bình,sv000113@uni.edu.vn
2019100114,Hoàng Văn Bình,sv000114@uni.edu.vn
2020100115,Vũ Văn Bình,sv000115@uni.edu.vn
2021100116,Đặng Văn Bình,sv000116@uni.edu.vn
2022100117,Bùi Văn Bình,sv000117@uni.edu.vn
2023100118,Đỗ Văn Bình,sv000118@uni.edu.vn
2024100119,Hồ Văn Bình,sv000119@uni.edu.vn
2019100120,Nguyễn Minh Bình,sv000120@uni.edu.vn
2020100121,Trần Minh Bình,sv000121@uni.edu.vn
2021100122,Lê Minh Bình,sv000122@uni.edu.vn
2022100123,Phạm Minh Bình,sv000123@uni.edu.vn
2023100124,Hoàng Minh Bình,sv000124@uni.edu.vn
2024100125,Vũ Minh Bình,sv000125@uni.edu.vn
2019100126,Đặng Minh Bình,sv000126@uni.edu.vn
2020100127,Bùi Minh Bình,sv000127@uni.edu.vn
2021100128,Đỗ Minh Bình,sv000128@uni.edu.vn
2022100129,Hồ Minh Bình,sv000129@uni.edu.vn
2023100130,Nguyễn Quốc Bình,sv000130@uni.edu.vn
2024100131,Trần Quốc Bình,sv000131@uni.edu.vn
2019100132,Lê Quốc Bình,sv000132@uni.edu.vn
2020100133,Phạm Quốc Bình,sv000133@uni.edu.vn
2021100134,Hoàng Quốc Bình,sv000134@uni.edu.vn
2022100135,Vũ Quốc Bình,sv000135@uni.edu.vn
2023100136,Đặng Quốc Bình,sv000136@uni.edu.vn
2024100137,Bùi Quốc Bình,sv000137@uni.edu.vn
2019100138,Đỗ Quốc Bình,sv000138@uni.edu.vn
2020100139,Hồ Quốc Bình,sv000139@uni.edu.vn
2021100140,Nguyễn Anh Bình,sv000140@uni.edu.vn
2022100141,Trần Anh Bình,sv000141@uni.edu.vn
2023100142,Lê Anh Bình,sv000142@uni.edu.vn
2024100143,Phạm Anh Bình,sv000143@uni.edu.vn
2019100144,Hoàng Anh Bình,sv000144@uni.edu.vn
2020100145,Vũ Anh Bình,sv000145@uni.edu.vn
2021100146,Đặng Anh Bình,sv000146@uni.edu.vn
2022100147,Bùi Anh Bình,sv000147@uni.edu.vn
2023100148,Đỗ Anh Bình,sv000148@uni.edu.vn
2024100149,Hồ Anh Bình,sv000149@uni.edu.vn
2019100150,Nguyễn Tuấn Bình,sv000150@uni.edu.vn
2020100151,Trần Tuấn Bình,sv000151@uni.edu.vn
2021100152,Lê Tuấn Bình,sv000152@uni.edu.vn
2022100153,Phạm Tuấn Bình,sv000153@uni.edu.vn
2023100154,Hoàng Tuấn Bình,sv000154@uni.edu.vn
2024100155,Vũ Tuấn Bình,sv000155@uni.edu.vn
2019100156,Đặng Tuấn Bình,sv000156@uni.edu.vn
2020100157,Bùi Tuấn Bình,sv000157@uni.edu.vn
2021100158,Đỗ Tuấn Bình,sv000158@uni.edu.vn
2022100159,Hồ Tuấn Bình,sv000159@uni.edu.vn
2023100160,Nguyễn Hữu Bình,sv000160@uni.edu.vn
2024100161,Trần Hữu Bình,sv000161@uni.edu.vn
2019100162,Lê Hữu Bình,sv000162@uni.edu.vn
2020100163,Phạm Hữu Bình,sv000163@uni.edu.vn
2021100164,Hoàng Hữu Bình,sv000164@uni.edu.vn
2022100165,Vũ Hữu Bình,sv000165@uni.edu.vn
2023100166,Đặng Hữu Bình,sv000166@uni.edu.vn
2024100167,Bùi Hữu Bình,sv000167@uni.edu.vn
2019100168,Đỗ Hữu Bình,sv000168@uni.edu.vn
2020100169,Hồ Hữu Bình,sv000169@uni.edu.vn
2021100170,Nguyễn Thành Bình,sv000170@uni.edu.vn
2022100171,Trần Thành Bình,sv000171@uni.edu.vn
2023100172,Lê Thành Bình,sv000172@uni.edu.vn
2024100173,Phạm Thành Bình,sv000173@uni.edu.vn
2019100174,Hoàng Thành Bình,sv000174@uni.edu.vn
2020100175,Vũ Thành Bình,sv000175@uni.edu.vn
2021100176,Đặng Thành Bình,sv000176@uni.edu.vn
2022100177,Bùi Thành Bình,sv000177@uni.edu.vn
2023100178,Đỗ Thành Bình,sv000178@uni.edu.vn
2024100179,Hồ Thành Bình,sv000179@uni.edu.vn
2019100180,Nguyễn Ngọc Bình,sv000180@uni.edu.vn
2020100181,Trần Ngọc Bình,sv000181@uni.edu.vn
2021100182,Lê Ngọc Bình,sv000182@uni.edu.vn
2022100183,Phạm Ngọc Bình,sv000183@uni.edu.vn
2023100184,Hoàng Ngọc Bình,sv000184@uni.edu.vn
2024100185,Vũ Ngọc Bình,sv000185@uni.edu.vn
2019100186,Đặng Ngọc Bình,sv000186@uni.edu.vn
2020100187,Bùi Ngọc Bình,sv000187@uni.edu.vn
2021100188,Đỗ Ngọc Bình,sv000188@uni.edu.vn
2022100189,Hồ Ngọc Bình,sv000189@uni.edu.vn
2023100190,Nguyễn Bình,sv000190@uni.edu.vn
2024100191,Trần Bình,sv000191@uni.edu.vn
2019100192,Lê Bình,sv000192@uni.edu.vn
2020100193,Phạm Bình,sv000193@uni.edu.vn
2021100194,Hoàng Bình,sv000194@uni.edu.vn
2022100195,Vũ Bình,sv000195@uni.edu.vn
2023100196,Đặng Bình,sv000196@uni.edu.vn
2024100197,Bùi Bình,sv000197@uni.edu.vn
2019100198,Đỗ Bình,sv000198@uni.edu.vn
2020100199,Hồ Bình,sv000199@uni.edu.vn
2021100200,Nguyễn Thị Chi,sv000200@uni.edu.vn
2022100201,Trần Thị Chi,sv000201@uni.edu.vn
2023100202,Lê Thị Chi,sv000202@uni.edu.vn
2024100203,Phạm Thị Chi,sv000203@uni.edu.vn
2019100204,Hoàng Thị Chi,sv000204@uni.edu.vn
2020100205,Vũ Thị Chi,sv000205@uni.edu.vn
2021100206,Đặng Thị Chi,sv000206@uni.edu.vn
2022100207,Bùi Thị Chi,sv000207@uni.edu.vn
2023100208,Đỗ Thị Chi,sv000208@uni.edu.vn
2024100209,Hồ Thị Chi,sv000209@uni.edu.vn
2019100210,Nguyễn Văn Chi,sv000210@uni.edu.vn
2020100211,Trần Văn Chi,sv000211@uni.edu.vn
2021100212,Lê Văn Chi,sv000212@uni.edu.vn
2022100213,Phạm Văn Chi,sv000213@uni.edu.vn
2023100214,Hoàng Văn Chi,sv000214@uni.edu.vn
2024100215,Vũ Văn Chi,sv000215@uni.edu.vn
2019100216,Đặng Văn Chi,sv000216@uni.edu.vn
2020100217,Bùi Văn Chi,sv000217@uni.edu.vn
2021100218,Đỗ Văn Chi,sv000218@uni.edu.vn
2022100219,Hồ Văn Chi,sv000219@uni.edu.vn
2023100220,Nguyễn Minh Chi,sv000220@uni.edu.vn
2024100221,Trần Minh Chi,sv000221@uni.edu.vn
2019100222,Lê Minh Chi,sv000222@uni.edu.vn
2020100223,Phạm Minh Chi,sv000223@uni.edu.vn
2021100224,Hoàng Minh Chi,sv000224@uni.edu.vn
2022100225,Vũ Minh Chi,sv000225@uni.edu.vn
2023100226,Đặng Minh Chi,sv000226@uni.edu.vn
2024100227,Bùi Minh Chi,sv000227@uni.edu.vn
2019100228,Đỗ Minh Chi,sv000228@uni.edu.vn
2020100229,Hồ Minh Chi,sv000229@uni.edu.vn
2021100230,Nguyễn Quốc Chi,sv000230@uni.edu.vn
2022100231,Trần Quốc Chi,sv000231@uni.edu.vn
2023100232,Lê Quốc Chi,sv000232@uni.edu.vn
2024100233,Phạm Quốc Chi,sv000233@uni.edu.vn
2019100234,Hoàng Quốc Chi,sv000234@uni.edu.vn
2020100235,Vũ Quốc Chi,sv000235@uni.edu.vn
2021100236,Đặng Quốc Chi,sv000236@uni.edu.vn
2022100237,Bùi Quốc Chi,sv000237@uni.edu.vn
2023100238,Đỗ Quốc Chi,sv000238@uni.edu.vn
2024100239,Hồ Quốc Chi,sv000239@uni.edu.vn
2019100240,Nguyễn Anh Chi,sv000240@uni.edu.vn
2020100241,Trần Anh Chi,sv000241@uni.edu.vn
2021100242,Lê Anh Chi,sv000242@uni.edu.vn
2022100243,Phạm Anh Chi,sv000243@uni.edu.vn
2023100244,Hoàng Anh Chi,sv000244@uni.edu.vn
2024100245,Vũ Anh Chi,sv000245@uni.edu.vn
2019100246,Đặng Anh Chi,sv000246@uni.edu.vn
2020100247,Bùi Anh Chi,sv000247@uni.edu.vn
2021100248,Đỗ Anh Chi,sv000248@uni.edu.vn
2022100249,Hồ Anh Chi,sv000249@uni.edu.vn
2023100250,Nguyễn Tuấn Chi,sv000250@uni.edu.vn
2024100251,Trần Tuấn Chi,sv000251@uni.edu.vn
2019100252,Lê Tuấn Chi,sv000252@uni.edu.vn
2020100253,Phạm Tuấn Chi,sv000253@uni.edu.vn
2021100254,Hoàng Tuấn Chi,sv000254@uni.edu.vn
2022100255,Vũ Tuấn Chi,sv000255@uni.edu.vn
2023100256,Đặng Tuấn Chi,sv000256@uni.edu.vn
2024100257,Bùi Tuấn Chi,sv000257@uni.edu.vn
2019100258,Đỗ Tuấn Chi,sv000258@uni.edu.vn
2020100259,Hồ Tuấn Chi,sv000259@uni.edu.vn
2021100260,Nguyễn Hữu Chi,sv000260@uni.edu.vn
2022100261,Trần Hữu Chi,sv000261@uni.edu.vn
2023100262,Lê Hữu Chi,sv000262@uni.edu.vn
2024100263,Phạm Hữu Chi,sv000263@uni.edu.vn
2019100264,Hoàng Hữu Chi,sv000264@uni.edu.vn
2020100265,Vũ Hữu Chi,sv000265@uni.edu.vn
2021100266,Đặng Hữu Chi,sv000266@uni.edu.vn
2022100267,Bùi Hữu Chi,sv000267@uni.edu.vn
2023100268,Đỗ Hữu Chi,sv000268@uni.edu.vn
2024100269,Hồ Hữu Chi,sv000269@uni.edu.vn
2019100270,Nguyễn Thành Chi,sv000270@uni.edu.vn
2020100271,Trần Thành Chi,sv000271@uni.edu.vn
2021100272,Lê Thành Chi,sv000272@uni.edu.vn
2022100273,Phạm Thành Chi,sv000273@uni.edu.vn
2023100274,Hoàng Thành Chi,sv000274@uni.edu.vn
2024100275,Vũ Thành Chi,sv000275@uni.edu.vn
2019100276,Đặng Thành Chi,sv000276@uni.edu.vn
2020100277,Bùi Thành Chi,sv000277@uni.edu.vn
2021100278,Đỗ Thành Chi,sv000278@uni.edu.vn
2022100279,Hồ Thành Chi,sv000279@uni.edu.vn
2023100280,Nguyễn Ngọc Chi,sv000280@uni.edu.vn
2024100281,Trần Ngọc Chi,sv000281@uni.edu.vn
2019100282,Lê Ngọc Chi,sv000282@uni.edu.vn
2020100283,Phạm Ngọc Chi,sv000283@uni.edu.vn
2021100284,Hoàng Ngọc Chi,sv000284@uni.edu.vn
2022100285,Vũ Ngọc Chi,sv000285@uni.edu.vn
2023100286,Đặng Ngọc Chi,sv000286@uni.edu.vn
2024100287,Bùi Ngọc Chi,sv000287@uni.edu.vn
2019100288,Đỗ Ngọc Chi,sv000288@uni.edu.vn
2020100289,Hồ Ngọc Chi,sv000289@uni.edu.vn
2021100290,Nguyễn Chi,sv000290@uni.edu.vn
2022100291,Trần Chi,sv000291@uni.edu.vn
2023100292,Lê Chi,sv000292@uni.edu.vn
2024100293,Phạm Chi,sv000293@uni.edu.vn
2019100294,Hoàng Chi,sv000294@uni.edu.vn
2020100295,Vũ Chi,sv000295@uni.edu.vn
2021100296,Đặng Chi,sv000296@uni.edu.vn
2022100297,Bùi Chi,sv000297@uni.edu.vn
2023100298,Đỗ Chi,sv000298@uni.edu.vn
2024100299,Hồ Chi,sv000299@uni.edu.vn
2019100300,Nguyễn Thị Dũng,sv000300@uni.edu.vn
2020100301,Trần Thị Dũng,sv000301@uni.edu.vn
2021100302,Lê Thị Dũng,sv000302@uni.edu.vn
2022100303,Phạm Thị Dũng,sv000303@uni.edu.vn
2023100304,Hoàng Thị Dũng,sv000304@uni.edu.vn
2024100305,Vũ Thị Dũng,sv000305@uni.edu.vn
2019100306,Đặng Thị Dũng,sv000306@uni.edu.vn
2020100307,Bùi Thị Dũng,sv000307@uni.edu.vn
2021100308,Đỗ Thị Dũng,sv000308@uni.edu.vn
2022100309,Hồ Thị Dũng,sv000309@uni.edu.vn
2023100310,Nguyễn Văn Dũng,sv000310@uni.edu.vn
2024100311,Trần Văn Dũng,sv000311@uni.edu.vn
2019100312,Lê Văn Dũng,sv000312@uni.edu.vn
2020100313,Phạm Văn Dũng,sv000313@uni.edu.vn
2021100314,Hoàng Văn Dũng,sv000314@uni.edu.vn
2022100315,Vũ Văn Dũng,sv000315@uni.edu.vn
2023100316,Đặng Văn Dũng,sv000316@uni.edu.vn
2024100317,Bùi Văn Dũng,sv000317@uni.edu.vn
2019100318,Đỗ Văn Dũng,sv000318@uni.edu.vn
2020100319,Hồ Văn Dũng,sv000319@uni.edu.vn
2021100320,Nguyễn Minh Dũng,sv000320@uni.edu.vn
2022100321,Trần Minh Dũng,sv000321@uni.edu.vn
2023100322,Lê Minh Dũng,sv000322@uni.edu.vn
2024100323,Phạm Minh Dũng,sv000323@uni.edu.vn
2019100324,Hoàng Minh Dũng,sv000324@uni.edu.vn
2020100325,Vũ Minh Dũng,sv000325@uni.edu.vn
2021100326,Đặng Minh Dũng,sv000326@uni.edu.vn
2022100327,Bùi Minh Dũng,sv000327@uni.edu.vn
2023100328,Đỗ Minh Dũng,sv000328@uni.edu.vn
2024100329,Hồ Minh Dũng,sv000329@uni.edu.vn
2019100330,Nguyễn Quốc Dũng,sv000330@uni.edu.vn
2020100331,Trần Quốc Dũng,sv000331@uni.edu.vn
2021100332,Lê Quốc Dũng,sv000332@uni.edu.vn
2022100333,Phạm Quốc Dũng,sv000333@uni.edu.vn
2023100334,Hoàng Quốc Dũng,sv000334@uni.edu.vn
2024100335,Vũ Quốc Dũng,sv000335@uni.edu.vn
2019100336,Đặng Quốc Dũng,sv000336@uni.edu.vn
2020100337,Bùi Quốc Dũng,sv000337@uni.edu.vn
2021100338,Đỗ Quốc Dũng,sv000338@uni.edu.vn
2022100339,Hồ Quốc Dũng,sv000339@uni.edu.vn
2023100340,Nguyễn Anh Dũng,sv000340@uni.edu.vn
2024100341,Trần Anh Dũng,sv000341@uni.edu.vn
2019100342,Lê Anh Dũng,sv000342@uni.edu.vn
2020100343,Phạm Anh Dũng,sv000343@uni.edu.vn
2021100344,Hoàng Anh Dũng,sv000344@uni.edu.vn
2022100345,Vũ Anh Dũng,sv000345@uni.edu.vn
2023100346,Đặng Anh Dũng,sv000346@uni.edu.vn
2024100347,Bùi Anh Dũng,sv000347@uni.edu.vn
2019100348,Đỗ Anh Dũng,sv000348@uni.edu.vn
2020100349,Hồ Anh Dũng,sv000349@uni.edu.vn
2021100350,Nguyễn Tuấn Dũng,sv000350@uni.edu.vn
2022100351,Trần Tuấn Dũng,sv000351@uni.edu.vn
2023100352,Lê Tuấn Dũng,sv000352@uni.edu.vn
2024100353,Phạm Tuấn Dũng,sv000353@uni.edu.vn
2019100354,Hoàng Tuấn Dũng,sv000354@uni.edu.vn
2020100355,Vũ Tuấn Dũng,sv000355@uni.edu.vn
2021100356,Đặng Tuấn Dũng,sv000356@uni.edu.vn
2022100357,Bùi Tuấn Dũng,sv000357@uni.edu.vn
2023100358,Đỗ Tuấn Dũng,sv000358@uni.edu.vn
2024100359,Hồ Tuấn Dũng,sv000359@uni.edu.vn
2019100360,Nguyễn Hữu Dũng,sv000360@uni.edu.vn
2020100361,Trần Hữu Dũng,sv000361@uni.edu.vn
2021100362,Lê Hữu Dũng,sv000362@uni.edu.vn
2022100363,Phạm Hữu Dũng,sv000363@uni.edu.vn
2023100364,Hoàng Hữu Dũng,sv000364@uni.edu.vn
2024100365,Vũ Hữu Dũng,sv000365@uni.edu.vn
2019100366,Đặng Hữu Dũng,sv000366@uni.edu.vn
2020100367,Bùi Hữu Dũng,sv000367@uni.edu.vn
2021100368,Đỗ Hữu Dũng,sv000368@uni.edu.vn
2022100369,Hồ Hữu Dũng,sv000369@uni.edu.vn
2023100370,Nguyễn Thành Dũng,sv000370@uni.edu.vn
2024100371,Trần Thành Dũng,sv000371@uni.edu.vn
2019100372,Lê Thành Dũng,sv000372@uni.edu.vn
2020100373,Phạm Thành Dũng,sv000373@uni.edu.vn
2021100374,Hoàng Thành Dũng,sv000374@uni.edu.vn
2022100375,Vũ Thành Dũng,sv000375@uni.edu.vn
2023100376,Đặng Thành Dũng,sv000376@uni.edu.vn
2024100377,Bùi Thành Dũng,sv000377@uni.edu.vn
2019100378,Đỗ Thành Dũng,sv000378@uni.edu.vn
2020100379,Hồ Thành Dũng,sv000379@uni.edu.vn
2021100380,Nguyễn Ngọc Dũng,sv000380@uni.edu.vn
2022100381,Trần Ngọc Dũng,sv000381@uni.edu.vn
2023100382,Lê Ngọc Dũng,sv000382@uni.edu.vn
2024100383,Phạm Ngọc Dũng,sv000383@uni.edu.vn
2019100384,Hoàng Ngọc Dũng,sv000384@uni.edu.vn
2020100385,Vũ Ngọc Dũng,sv000385@uni.edu.vn
2021100386,Đặng Ngọc Dũng,sv000386@uni.edu.vn
2022100387,Bùi Ngọc Dũng,sv000387@uni.edu.vn
2023100388,Đỗ Ngọc Dũng,sv000388@uni.edu.vn
2024100389,Hồ Ngọc Dũng,sv000389@uni.edu.vn
2019100390,Nguyễn Dũng,sv000390@uni.edu.vn
2020100391,Trần Dũng,sv000391@uni.edu.vn
2021100392,Lê Dũng,sv000392@uni.edu.vn
2022100393,Phạm Dũng,sv000393@uni.edu.vn
2023100394,Hoàng Dũng,sv000394@uni.edu.vn
2024100395,Vũ Dũng,sv000395@uni.edu.vn
2019100396,Đặng Dũng,sv000396@uni.edu.vn
2020100397,Bùi Dũng,sv000397@uni.edu.vn
2021100398,Đỗ Dũng,sv000398@uni.edu.vn
2022100399,Hồ Dũng,sv000399@uni.edu.vn
2023100400,Nguyễn Thị Giang,sv000400@uni.edu.vn
2024100401,Trần Thị Giang,sv000401@uni.edu.vn
2019100402,Lê Thị Giang,sv000402@uni.edu.vn
2020100403,Phạm Thị Giang,sv000403@uni.edu.vn
2021100404,Hoàng Thị Giang,sv000404@uni.edu.vn
2022100405,Vũ Thị Giang,sv000405@uni.edu.vn
2023100406,Đặng Thị Giang,sv000406@uni.edu.vn
2024100407,Bùi Thị Giang,sv000407@uni.edu.vn
2019100408,Đỗ Thị Giang,sv000408@uni.edu.vn
2020100409,Hồ Thị Giang,sv000409@uni.edu.vn
2021100410,Nguyễn Văn Giang,sv000410@uni.edu.vn
2022100411,Trần Văn Giang,sv000411@uni.edu.vn
2023100412,Lê Văn Giang,sv000412@uni.edu.vn
2024100413,Phạm Văn Giang,sv000413@uni.edu.vn
2019100414,Hoàng Văn Giang,sv000414@uni.edu.vn
2020100415,Vũ Văn Giang,sv000415@uni.edu.vn
2021100416,Đặng Văn Giang,sv000416@uni.edu.vn
2022100417,Bùi Văn Giang,sv000417@uni.edu.vn
2023100418,Đỗ Văn Giang,sv000418@uni.edu.vn
2024100419,Hồ Văn Giang,sv000419@uni.edu.vn
2019100420,Nguyễn Minh Giang,sv000420@uni.edu.vn
2020100421,Trần Minh Giang,sv000421@uni.edu.vn
2021100422,Lê Minh Giang,sv000422@uni.edu.vn
2022100423,Phạm Minh Giang,sv000423@uni.edu.vn
2023100424,Hoàng Minh Giang,sv000424@uni.edu.vn
2024100425,Vũ Minh Giang,sv000425@uni.edu.vn
2019100426,Đặng Minh Giang,sv000426@uni.edu.vn
2020100427,Bùi Minh Giang,sv000427@uni.edu.vn
2021100428,Đỗ Minh Giang,sv000428@uni.edu.vn
2022100429,Hồ Minh Giang,sv000429@uni.edu.vn
2023100430,Nguyễn Quốc Giang,sv000430@uni.edu.vn
2024100431,Trần Quốc Giang,sv000431@uni.edu.vn
2019100432,Lê Quốc Giang,sv000432@uni.edu.vn
2020100433,Phạm Quốc Giang,sv000433@uni.edu.vn
2021100434,Hoàng Quốc Giang,sv000434@uni.edu.vn
2022100435,Vũ Quốc Giang,sv000435@uni.edu.vn
2023100436,Đặng Quốc Giang,sv000436@uni.edu.vn
2024100437,Bùi Quốc Giang,sv000437@uni.edu.vn
2019100438,Đỗ Quốc Giang,sv000438@uni.edu.vn
2020100439,Hồ Quốc Giang,sv000439@uni.edu.vn
2021100440,Nguyễn Anh Giang,sv000440@uni.edu.vn
2022100441,Trần Anh Giang,sv000441@uni.edu.vn
2023100442,Lê Anh Giang,sv000442@uni.edu.vn
2024100443,Phạm Anh Giang,sv000443@uni.edu.vn
2019100444,Hoàng Anh Giang,sv000444@uni.edu.vn
2020100445,Vũ Anh Giang,sv000445@uni.edu.vn
2021100446,Đặng Anh Giang,sv000446@uni.edu.vn
2022100447,Bùi Anh Giang,sv000447@uni.edu.vn
2023100448,Đỗ Anh Giang,sv000448@uni.edu.vn
2024100449,Hồ Anh Giang,sv000449@uni.edu.vn
2019100450,Nguyễn Tuấn Giang,sv000450@uni.edu.vn
2020100451,Trần Tuấn Giang,sv000451@uni.edu.vn
2021100452,Lê Tuấn Giang,sv000452@uni.edu.vn
2022100453,Phạm Tuấn Giang,sv000453@uni.edu.vn
2023100454,Hoàng Tuấn Giang,sv000454@uni.edu.vn
2024100455,Vũ Tuấn Giang,sv000455@uni.edu.vn
2019100456,Đặng Tuấn Giang,sv000456@uni.edu.vn
2020100457,Bùi Tuấn Giang,sv000457@uni.edu.vn
2021100458,Đỗ Tuấn Giang,sv000458@uni.edu.vn
2022100459,Hồ Tuấn Giang,sv000459@uni.edu.vn
2023100460,Nguyễn Hữu Giang,sv000460@uni.edu.vn
